film_id,nat_title,film_country,prod_share,,,,,,,,,,,,,,,,,,,,,,
FR2021_001,Envole-moi,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_001,Envole-moi,IT,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_002,L'Étreinte,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_003,Le Dernier Voyage,FR,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_004,Mandibules,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_005,Le Grand Secret du lien,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_006,Si le vent tombe,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_006,Si le vent tombe,AM,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_006,Si le vent tombe,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_007,Vers la bataille,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_007,Vers la bataille,CO,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_008,Chacun chez soi,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_010,Playlist,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_012,'May B',FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_013,L'Instant présent,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_014,Le Discours,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_014,Le Discours,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_015,Vaurien,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_016,5ème Set,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_017,La Nuée,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_018,Les 2 Alfred,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_019,Seize Printemps,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_020,Un tour chez ma fille,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_021,Gagarine,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_022,Ibrahim,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_023,Opération Portugal,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_024,Tokyo Shaking,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_024,Tokyo Shaking,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_025,La Fine Fleur,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_026,Le Sens de la famille,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_026,Le Sens de la famille,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_027,Présidents,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_028,Soeurs,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_028,Soeurs,DZ,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_029,Sous le ciel d'Alice,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_030,Teddy,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_031,The Deep House,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_031,The Deep House,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_032,Benedetta,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_032,Benedetta,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_032,Benedetta,NL,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_033,Bergman Island,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_033,Bergman Island,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_033,Bergman Island,DE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_033,Bergman Island,SE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_033,Bergman Island,MX,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_034,Frères d'arme,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_035,Mystère à Saint-Tropez,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_035,Mystère à Saint-Tropez,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_036,Titane,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_036,Titane,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_037,Gunpowder Milkshake,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_037,Gunpowder Milkshake,DE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_037,Gunpowder Milkshake,US,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_038,Kaamelott - Premier volet,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_039,"Onoda, 10 000 nuits dans la jungle",FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_039,"Onoda, 10 000 nuits dans la jungle",DE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_039,"Onoda, 10 000 nuits dans la jungle",BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_039,"Onoda, 10 000 nuits dans la jungle",IT,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_039,"Onoda, 10 000 nuits dans la jungle",JP,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_040,C'est la vie,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_040,C'est la vie,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_041,Les Sorcières de l'Orient,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_042,Profession du père,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_043,Le Tour du monde en 80 jours,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_043,Le Tour du monde en 80 jours,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_044,De bas étage,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_045,Messe basse,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_046,OSS 117: Alerte rouge en Afrique noire,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_047,C'est quoi ce papy?!,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_048,Passion simple,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_048,Passion simple,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_049,Pil,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_050,Rouge,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_050,Rouge,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_051,Attention au départ,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_051,Attention au départ,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_052,BAC Nord,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_053,Les Fantasmes,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_054,Louloute,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_055,Fragile,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_056,La Terre des hommes,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_057,Gogo,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_058,Laila in Haifa,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_058,Laila in Haifa,IL,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_059,"Le Fils de l'épicière, le maire, le village et le monde",FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_059,"Le Fils de l'épicière, le maire, le village et le monde",BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_060,Un triomphe,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_061,Boîte noire,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_062,Délicieux,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_062,Délicieux,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_063,La Nuit des rois,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_063,La Nuit des rois,CA,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_063,La Nuit des rois,CI,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_064,La Vie de château,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_065,Les Méchants,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_066,L'Origine du monde,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_066,L'Origine du monde,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_067,La Ferme qui soigne - Agroécologie et médecines,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_068,Les Amours d'Anaïs,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_069,Pourris gâtés,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_070,La Troisième guerre,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_071,"Là, où le temps s'est arrêté",FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_072,Tout s'est bien passé,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_073,Cette musique ne joue pour personne,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_073,Cette musique ne joue pour personne,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_074,    En route pour le milliard,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_074,    En route pour le milliard,QA,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_074,    En route pour le milliard,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_075,Eugénie Grandet,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_075,Eugénie Grandet,GB,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_075,Eugénie Grandet,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_076,Guermantes,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_077,J'ai aimé vivre là,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_078,La Traversée,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_078,La Traversée,CZ,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_078,La Traversée,DE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_079,Gaza mon amour,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_079,Gaza mon amour,DE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_079,Gaza mon amour,PT,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_079,Gaza mon amour,PS,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_079,Gaza mon amour,QA,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_080,Le Kiosque,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_081,Tralala,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_082,Debout les femmes!,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_083,Eiffel,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_083,Eiffel,DE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_084,L'Homme de la cave,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_085,Le Loup et le lion,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_085,Le Loup et le lion,CA,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_086,"Le Poète illuminé, Germain Nouveau (1851-1920)",FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_087,Le Traducteur,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_087,Le Traducteur,CH,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_087,Le Traducteur,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_087,Le Traducteur,SY,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_087,Le Traducteur,US,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_088,À la vie,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_089,Illusions perdues,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_089,Illusions perdues,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_090,Le Trésor du petit Nicolas,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_090,Le Trésor du petit Nicolas,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_091,Les Héroïques,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_092,"Spectre: Sanity, Madness & the Family",FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_093,Tonton Manu,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_094,Tout nous sourit,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_094,Tout nous sourit,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_095,La Fracture,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_096,Lui,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_096,Lui,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_097,Albatros,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_097,Albatros,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_098,"Les Olympiades, Paris 13e",FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_099,My Son,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_099,My Son,GB,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_099,My Son,DE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_100,Pingouin et Goëland et leurs 500 petits,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_101,Si on chantait,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_102,A Good Man,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_102,A Good Man,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_103,Aline,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_103,Aline,CA,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_104,Entre deux trains,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_105,Haute Couture,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_106,Marcher sur l'eau,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_106,Marcher sur l'eau,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_107,Partir?,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_107,Partir?,CM,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_108,Les Bodin's en Thaïlande,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_109,On est fait pour s'entendre,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_110,Oranges sanguines,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_111,Retourner à Sölöz,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_112,Bolante baten historia,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_112,Bolante baten historia,ES,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_113,De son vivant,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_113,De son vivant,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_114,Mon fils Malik,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_115,La Grande Aventure du Cirque Plume,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_116,La Pièce rapportée,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_117,Les Choses humaines,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_118,Maman pleut des cordes,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_119,Les rêves ne meurent jamais,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_120,Au cœur du bois,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_121,Les Tuche 4,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_122,Lingui,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_122,Lingui,DE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_122,Lingui,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_122,Lingui,TD,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_123,Rose,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_124,Une femme du monde,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_125,Ghahreman (Un héros),FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_125,Ghahreman (Un héros),IR,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_126,Mes très chers enfants,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_127,Mystère,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_128,Noël et sa mère,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_129,Madeleine Collins,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_129,Madeleine Collins,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_129,Madeleine Collins,CH,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_130,Mince alors 2!,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_131,Le Test,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_132,Tromperie,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_001,Twist à Bamako,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_001,Twist à Bamako,CA,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2022_001,Twist à Bamako,SN,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2022_002,Adieu Monsieur Haffmann,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_002,Adieu Monsieur Haffmann,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2022_003,Jane par Charlotte,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_003,Jane par Charlotte,GB,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2022_003,Jane par Charlotte,JP,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2022_004,Le Cygne des héros,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_005,Ouistreham,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_006,Placés,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_007,Sans toi,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_008,"Eurídice, là-bas...",FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_008,"Eurídice, là-bas...",UY,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2022_009,Hors du monde,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_010,L'amour c'est mieux que la vie,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_011,La Place d'une autre,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_012,"Michael Cimino, un mirage américain",FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_013,Rumba la vie,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_013,Rumba la vie,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2022_014,Tendre et Saignant,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_014,Tendre et Saignant,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2022_015,Adieu Paris,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_015,Adieu Paris,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2022_016,Les Promesses,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_017,Presque,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_017,Presque,CH,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2022_018,Une jeune fille qui va bien,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_019,Arthur Rambo,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_020,H6,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_021,Les Jeunes Amants,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_021,Les Jeunes Amants,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2022_022,Les voisins de mes voisins sont mes voisins,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_023,Super-héros malgré lui,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_024,Enquête sur un scandale d'État,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_025,Golda Maria,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_026,L'Horizon,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_027,PS : La diPSarition?,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_028,Les Vedettes,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_029,Vous ne désirez que moi,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_030,After Blue (Paradis sale),FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_031,King,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_031,King,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2022_032,La Vraie Famille,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_033,Maison de retraite,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_033,Maison de retraite,CH,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2022_034,Nous,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_035,Un autre monde,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_036,Compagnons,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_036,Compagnons,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2022_037,Ils sont vivants,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_038,Maigret,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_038,Maigret,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2022_039,Selon la police,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_040,Zaï Zaï Zaï Zaï,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2022_040,Zaï Zaï Zaï Zaï,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
